Team,Game,opp,ptsFor,ptsAgainst,locale,conference,yardsFor,yardsAgainst,turnBy,turnGot,D1for,D1against,passComp,passAtt
OKST,1,CMU,24,13,Away,Out,419,343,0,1,19,18,22,32
OKST,2,UCA,23,8,Home,Out,578,220,1,0,25,12,25,39
OKST,3,UTSA,69,14,Home,Out,534,346,1,7,22,20,19,26
OKST,4,TEX,30,27,Away,Big12,395,209,3,1,27,11,24,36
OKST,5,KSU,36,34,Home,Big12,490,351,2,1,26,22,35,56
OKST,6,WVU,33,26,Away,Big12,362,443,3,4,19,26,22,43
OKST,7,KU,58,10,Home,Big12,583,224,0,2,33,9,27,36
OKST,8,TTU,70,53,Away,Big12,662,642,1,3,29,32,27,43
OKST,9,TCU,49,29,Home,Big12,456,663,0,4,16,36,18,27
OKLA,1,AKR,41,3,Home,Out,539,226,2,1,26,10,6,26
OKLA,2,TENN,31,24,Away,Out,348,254,2,1,20,19,19,39
OKLA,3,TLSA,52,38,Home,Out,773,603,2,0,38,31,34,51
OKLA,4,WVU,44,24,Home,Big12,427,369,2,5,16,26,14,25
OKLA,5,TEX,17,24,Home,Big12,278,368,1,0,20,20,20,28
OKLA,6,KSU,55,0,Away,Big12,568,110,0,3,30,7,25,32
OKLA,7,TTU,63,27,Home,Big12,617,425,2,4,35,28,15,22
OKLA,8,KU,62,7,Away,Big12,710,216,2,2,35,15,33,41
OKLA,9,ISU,52,16,Home,Big12,684,374,1,1,28,22,25,33
BAY,1,SMU,56,21,Away,Out,723,369,1,2,27,22,17,32
BAY,2,LAM,66,31,Home,Out,785,340,4,2,38,19,26,38
BAY,3,RICE,70,17,Home,Out,793,246,1,2,39,20,19,25
BAY,4,TTU,63,35,Home,Big12,680,636,1,4,26,27,16,24
BAY,5,KU,66,7,Away,Big12,644,227,1,3,33,14,27,37
BAY,6,WVU,62,38,Home,Big12,693,471,0,1,34,22,21,34
BAY,7,ISU,45,27,Home,Big12,485,388,2,4,27,23,17,38
BAY,8,KSU,31,24,Away,Big12,522,430,0,3,20,22,23,33
TCU,1,MINN,23,17,Away,Out,449,341,2,2,25,18,26,42
TCU,2,SFA,70,7,Home,Out,627,167,1,3,30,8,26,37
TCU,3,SMU,56,37,Home,Out,720,508,0,1,28,23,21,30
TCU,4,TTU,55,52,Away,Big12,750,607,0,0,38,32,35,56
TCU,5,TEX,50,7,Home,Big12,604,313,0,1,31,20,22,38
TCU,6,KSU,52,45,Away,Big12,543,385,2,2,22,28,20,30
TCU,7,ISU,45,21,Away,Big12,621,461,1,2,30,24,28,34
TCU,8,WVU,40,10,Home,Big12,616,327,0,1,35,21,33,49
TCU,9,OKST,29,49,Away,Big12,663,456,4,0,36,16,35,58
TEX,1,ND,3,38,Away,Out,163,527,0,0,8,30,8,23
TEX,2,RICE,42,28,Home,Out,277,462,1,5,11,30,5,10
TEX,3,CAL,44,45,Home,Out,650,548,2,2,28,26,20,31
TEX,4,OKST,27,30,Home,Big12,290,395,1,3,11,27,9,17
TEX,5,TCU,7,50,Away,Big12,313,604,1,0,20,31,13,28
TEX,6,OKLA,24,17,Home,Big12,368,278,0,1,20,20,9,12
TEX,7,KSU,23,9,Home,Big12,373,242,0,1,20,15,10,16
TEX,8,ISU,0,24,Away,Big12,204,426,1,0,11,28,12,22
TEX,9,KU,59,20,Home,Big12,598,426,1,4,20,23,19,30
ISU,1,UNI,31,7,Home,Out,310,302,2,2,15,16,21,29
ISU,2,IOWA,17,31,Home,Out,310,475,1,1,18,22,19,35
ISU,3,TOL,23,30,Away,Out,481,309,1,1,27,16,26,43
ISU,4,KU,38,13,Home,Big12,512,288,2,1,24,15,27,37
ISU,5,TTU,31,66,Away,Big12,495,776,3,0,19,33,15,30
ISU,6,TCU,21,45,Home,Big12,461,621,2,1,24,30,24,38
ISU,7,BAY,27,45,Away,Big12,388,485,4,2,23,27,16,29
ISU,8,TEX,24,0,Home,Big12,426,204,0,1,28,11,19,38
ISU,9,OKLA,16,52,Away,Big12,374,684,1,1,22,28,26,51
TTU,1,SHSU,59,45,Home,Out,611,637,1,4,29,34,34,57
TTU,2,UTEP,69,20,Home,Out,674,414,0,2,29,18,23,42
TTU,3,ARK,35,24,Away,Out,486,424,2,2,24,23,27,31
TTU,4,TCU,52,55,Home,Big12,607,750,0,0,32,38,25,45
TTU,5,BAY,35,63,Home,Big12,636,680,4,1,27,26,40,65
TTU,6,ISU,66,31,Home,Big12,776,495,0,3,33,19,39,56
TTU,7,KU,30,20,Away,Big12,576,475,2,3,29,26,29,50
TTU,8,OKLA,27,63,Away,Big12,425,617,4,2,28,35,29,45
TTU,9,OKST,53,70,Home,Big12,642,662,3,1,32,29,38,55
TTU,10,WVU,26,31,Away,Big12,378,449,1,2,23,28,22,36
WVU,1,GASO,44,0,Home,Out,544,224,0,5,21,14,16,26
WVU,2,LIB,41,17,Home,Out,485,372,0,0,24,17,27,32
WVU,3,MD,45,6,Home,Out,601,326,2,6,37,14,23,37
WVU,4,OKLA,24,44,Away,Big12,369,427,5,2,26,16,17,32
WVU,5,OKST,26,33,Home,Big12,443,362,4,3,26,19,18,37
WVU,6,BAY,38,62,Away,Big12,471,693,1,0,22,34,18,39
WVU,7,TCU,10,40,Away,Big12,327,616,1,0,21,35,16,39
WVU,8,TTU,31,26,Home,Big12,449,378,2,1,28,23,12,24
KSU,1,SDAK,34,0,Home,Out,336,266,1,1,16,16,9,18
KSU,2,UTSA,30,3,Away,Out,418,229,0,0,22,14,12,23
KSU,3,LT,39,33,Home,Out,360,451,1,2,17,23,15,26
KSU,4,OKST,34,36,Away,Big12,351,490,1,2,22,26,13,25
KSU,5,TCU,45,52,Home,Big12,385,543,2,2,28,22,13,33
KSU,6,OKLA,0,55,Home,Big12,110,568,3,0,7,30,5,22
KSU,7,TEX,9,23,Away,Big12,242,373,1,0,15,20,11,24
KSU,8,BAY,24,31,Home,Big12,430,522,3,0,22,20,13,23
KU,1,SDSU,38,41,Home,Out,576,463,2,0,29,25,25,40
KU,2,MEM,23,55,Home,Out,359,651,0,3,23,34,18,38
KU,3,RUTG,14,27,Away,Out,342,513,1,3,18,31,19,32
KU,4,ISU,13,38,Away,Big12,288,512,1,2,15,24,23,37
KU,5,BAY,7,66,Home,Big12,227,644,3,1,14,33,20,36
KU,6,TTU,20,30,Home,Big12,475,576,3,2,26,29,35,50
KU,7,OKST,10,58,Away,Big12,221,583,2,0,9,33,12,31
KU,8,OKLA,7,62,Home,Big12,216,710,2,2,15,35,20,34
KU,9,TEX,20,59,Away,Big12,426,598,4,1,23,20,19,41
